,Data,AMAZONAS_ena,ARAGUARI_ena,CAPIVARI_ena,DOCE_ena,GRANDE_ena,IGUACU_ena,ITABAPOANA_ena,ITAJAI_ena,JACUI_ena,JEQUITINHONHA_ena,MUCURI_ena,PARAGUACU_ena,PARAGUAI_ena,PARAIBA_ena,PARANA_ena,PARANAIBA_ena,PARANAPANEMA_ena,PARNAIBA_ena,SFRANCISCO_ena,TIETE_ena,TOCANTINS_ena,URUGUAI_ena
0,2020-01-01,13590.96289063,346.89099121,77.71700287,335.27801514,3455.37402344,1364.47998047,60.13800049,12.8380003,208.91299438,81.65699768,3.45499992,1.07799995,435.98699951,703.27197266,14524.60058594,2896.90698242,963.55102539,98.49199677,5580.31103516,836.13702393,3535.56298828,779.22998047
1,2020-01-02,14092.66503906,359.90499878,82.24700165,357.91400146,3270.6940918,1330.19299316,61.68999863,21.8239994,195.81700134,93.91500092,3.45499992,1.06900001,443.64099121,783.20898438,13905.51757813,2887.1550293,936.05297852,103.97200012,5339.34277344,1350.11999512,3756.11108398,762.80297852
2,2020-01-03,14608.16308594,354.01400757,85.88400269,397.66900635,3296.24609375,1356.20300293,69.18000031,32.89599991,179.65299988,102.94999695,4.53999996,3.70799994,447.90100098,1062.28796387,13520.82226563,3128.24804688,942.25299072,114.1969986,5248.99316406,1213.11401367,4057.22192383,778.29199219
3,2020-01-04,15037.07128906,330.98498535,87.73500061,476.23098755,3544.23388672,1462.17297363,119.38200378,44.5929985,169.80400085,133.94999695,6.81699991,6.71799994,433.21798706,1188.96496582,13296.59375,3567.01293945,998.09997559,131.81700134,5219.91015625,1248.37304688,4386.51416016,808.15997314
4,2020-01-05,15548.99414063,304.18399048,88.7559967,589.97198486,3910.5090332,1555.08300781,169.78599548,43.20199966,222.10299683,434.74099731,7.90100002,9.1619997,421.79598999,1419.1920166,13067.33300781,4160.81591797,1067.37097168,148.37800598,5223.86083984,1336.70300293,4752.98779297,826.37701416
5,2020-01-06,16053.95898438,284.80200195,92.26499939,686.0869751,4360.98583984,1649.46496582,136.21699524,47.07099915,252.11500549,631.83197021,8.26299953,10.69499969,415.41000366,1613.00097656,12980.08203125,4960.85986328,1164.3260498,162.86199951,5283.25390625,1356.16699219,5225.9921875,832.80700684
6,2020-01-07,16506.73632813,280.61898804,98.58200073,718.90802002,4783.23193359,1714.52294922,107.42199707,42.88100052,246.47599792,503.25601196,7.60200024,11.875,409.41699219,1625.2989502,13268.38769531,5312.75488281,1200.56494141,171.40299988,5319.30322266,1679.72595215,6092.13720703,817.29302979
7,2020-01-08,16882.33789063,284.41299438,105.21800232,649.93499756,5224.37402344,1714.90795898,77.24299622,43.25600052,241.60699463,406.09298706,7.57999992,10.27700043,416.69900513,1538.16003418,13643.25878906,5357.29003906,1226.40600586,174.05599976,5310.13916016,2106.66210938,6834.13476563,797.85797119
8,2020-01-09,17214.13671875,285.87298584,110.06700134,572.93499756,5674.88085938,1682.50695801,68.87599945,48.3730011,278.19699097,309.28399658,6.25400019,7.43400002,416.90499878,1493.88000488,14198.3359375,5350.58203125,1278.59399414,175.50700378,5223.30615234,1928.51599121,6552.90917969,798.05401611
9,2020-01-10,17575.14648438,271.24700928,180.38200378,513.77502441,6065.15185547,1733.11901855,68.43800354,43.38000107,365.67599487,402.16000366,5.67799997,6.27199984,441.30899048,1563.14794922,14628.38476563,5346.203125,1295.14196777,174.04899597,5124.53222656,1902.00805664,6432.85595703,871.84802246
10,2020-01-11,17791.62304688,251.47999573,163.41000366,477.38598633,6308.17578125,1891.12194824,60.17200089,201.90699768,557.01702881,468.98999023,4.17799997,101.78500366,440.02999878,1551.98205566,15305.48535156,5196.35498047,1352.78295898,171.13499451,4960.70605469,2003.55505371,6495.70800781,1212.95397949
11,2020-01-12,18038.65039063,234.6309967,145.2250061,445.20498657,6352.00390625,2081.60888672,50.45500183,157.17100525,740.83599854,364.57598877,3.81699991,101.69200134,429.73498535,1447.70800781,16172.09277344,4862.97509766,1481.44702148,167.27200317,4850.64306641,2040.29003906,6510.83007813,1898.96203613
12,2020-01-13,18302.61132813,228.69700623,125.82700348,441.24099731,6289.64892578,2150.09692383,82.40499878,80.73400116,582.04101563,284.61999512,3.0940001,86.18299866,423.95300293,1430.63195801,17058.89257813,4509.6640625,1588.10400391,160.7480011,4765.06982422,2040.95495605,6323.703125,2267.67407227
13,2020-01-14,18475.94335938,225.16299438,114.08699799,457.51199341,6151.22998047,2106.61401367,109.90200043,76.84700012,502.65701294,202.2460022,3.0940001,63.99399948,418.83599854,1482.33496094,17750.12109375,4143.13476563,1653.82299805,152.89700317,4667.39306641,2110.95703125,6134.71191406,2201.20800781
14,2020-01-15,18486.24804688,228.72799683,113.5759964,481.17800903,6028.45410156,2018.55102539,85.40799713,50.45899963,483.8999939,154.10699463,4.90100002,54.47000122,404.76300049,1449.15100098,18020.6953125,3826.33398438,1639.29602051,140.18800354,4624.12597656,2095.14208984,5986.55810547,1976.36096191
