,Data,PLD
0,2020-01-01 00:00:00,"287,17"
1,2020-01-01 01:00:00,"287,17"
2,2020-01-01 02:00:00,"287,17"
3,2020-01-01 03:00:00,"287,17"
4,2020-01-01 04:00:00,"287,17"
5,2020-01-01 05:00:00,"287,17"
6,2020-01-01 06:00:00,"287,17"
7,2020-01-01 07:00:00,"287,17"
8,2020-01-01 08:00:00,"287,17"
9,2020-01-01 09:00:00,"287,17"
10,2020-01-01 10:00:00,"287,17"
11,2020-01-01 11:00:00,"287,17"
12,2020-01-01 12:00:00,"287,17"
13,2020-01-01 13:00:00,"287,17"
14,2020-01-01 14:00:00,"287,17"
15,2020-01-01 15:00:00,"287,17"
16,2020-01-01 16:00:00,"287,17"
17,2020-01-01 17:00:00,"287,17"
18,2020-01-01 18:00:00,"287,17"
19,2020-01-01 19:00:00,"287,17"
20,2020-01-01 20:00:00,"294,02"
21,2020-01-01 21:00:00,"294,02"
22,2020-01-01 22:00:00,"294,02"
23,2020-01-01 23:00:00,"287,17"
24,2020-01-02 00:00:00,"287,17"
25,2020-01-02 01:00:00,"287,17"
26,2020-01-02 02:00:00,"287,17"
27,2020-01-02 03:00:00,"287,17"
28,2020-01-02 04:00:00,"287,17"
29,2020-01-02 05:00:00,"287,17"
30,2020-01-02 06:00:00,"287,17"
31,2020-01-02 07:00:00,"287,17"
32,2020-01-02 08:00:00,"294,02"
33,2020-01-02 09:00:00,"294,02"
34,2020-01-02 10:00:00,"294,99"
35,2020-01-02 11:00:00,"294,99"
36,2020-01-02 12:00:00,"294,99"
37,2020-01-02 13:00:00,"294,99"
38,2020-01-02 14:00:00,"294,99"
39,2020-01-02 15:00:00,"294,99"
40,2020-01-02 16:00:00,"294,99"
41,2020-01-02 17:00:00,"294,99"
42,2020-01-02 18:00:00,"294,02"
43,2020-01-02 19:00:00,"294,02"
44,2020-01-02 20:00:00,"294,02"
45,2020-01-02 21:00:00,"294,02"
46,2020-01-02 22:00:00,"294,02"
47,2020-01-02 23:00:00,"294,02"
48,2020-01-03 00:00:00,"287,17"
49,2020-01-03 01:00:00,"287,17"
50,2020-01-03 02:00:00,"287,17"
51,2020-01-03 03:00:00,"287,17"
52,2020-01-03 04:00:00,"287,17"
53,2020-01-03 05:00:00,"287,17"
54,2020-01-03 06:00:00,"287,17"
55,2020-01-03 07:00:00,"287,17"
56,2020-01-03 08:00:00,"294,02"
57,2020-01-03 09:00:00,"294,02"
58,2020-01-03 10:00:00,"294,99"
59,2020-01-03 11:00:00,"294,99"
60,2020-01-03 12:00:00,"294,99"
61,2020-01-03 13:00:00,"294,99"
62,2020-01-03 14:00:00,"294,99"
63,2020-01-03 15:00:00,"294,99"
64,2020-01-03 16:00:00,"294,99"
65,2020-01-03 17:00:00,"294,99"
66,2020-01-03 18:00:00,"294,02"
67,2020-01-03 19:00:00,"294,02"
68,2020-01-03 20:00:00,"294,02"
69,2020-01-03 21:00:00,"294,02"
70,2020-01-03 22:00:00,"294,02"
71,2020-01-03 23:00:00,"294,02"
72,2020-01-04 00:00:00,"365,27"
73,2020-01-04 01:00:00,"365,27"
74,2020-01-04 02:00:00,"365,27"
75,2020-01-04 03:00:00,"365,27"
76,2020-01-04 04:00:00,"365,27"
77,2020-01-04 05:00:00,"365,27"
78,2020-01-04 06:00:00,"365,27"
79,2020-01-04 07:00:00,"365,27"
80,2020-01-04 08:00:00,"365,27"
81,2020-01-04 09:00:00,"365,27"
82,2020-01-04 10:00:00,"365,27"
83,2020-01-04 11:00:00,"365,27"
84,2020-01-04 12:00:00,"365,27"
85,2020-01-04 13:00:00,"365,27"
86,2020-01-04 14:00:00,"365,27"
87,2020-01-04 15:00:00,"365,27"
88,2020-01-04 16:00:00,"365,27"
89,2020-01-04 17:00:00,"365,27"
90,2020-01-04 18:00:00,"365,27"
91,2020-01-04 19:00:00,"365,27"
92,2020-01-04 20:00:00,"370,48"
93,2020-01-04 21:00:00,"370,48"
94,2020-01-04 22:00:00,"370,48"
95,2020-01-04 23:00:00,"365,27"
96,2020-01-05 00:00:00,"365,27"
97,2020-01-05 01:00:00,"365,27"
98,2020-01-05 02:00:00,"365,27"
99,2020-01-05 03:00:00,"365,27"
100,2020-01-05 04:00:00,"365,27"
101,2020-01-05 05:00:00,"365,27"
102,2020-01-05 06:00:00,"365,27"
103,2020-01-05 07:00:00,"365,27"
104,2020-01-05 08:00:00,"365,27"
105,2020-01-05 09:00:00,"365,27"
106,2020-01-05 10:00:00,"365,27"
107,2020-01-05 11:00:00,"365,27"
108,2020-01-05 12:00:00,"365,27"
109,2020-01-05 13:00:00,"365,27"
110,2020-01-05 14:00:00,"365,27"
111,2020-01-05 15:00:00,"365,27"
112,2020-01-05 16:00:00,"365,27"
113,2020-01-05 17:00:00,"365,27"
114,2020-01-05 18:00:00,"365,27"
115,2020-01-05 19:00:00,"365,27"
116,2020-01-05 20:00:00,"370,48"
117,2020-01-05 21:00:00,"370,48"
118,2020-01-05 22:00:00,"370,48"
119,2020-01-05 23:00:00,"365,27"
120,2020-01-06 00:00:00,"365,27"
121,2020-01-06 01:00:00,"365,27"
122,2020-01-06 02:00:00,"365,27"
123,2020-01-06 03:00:00,"365,27"
124,2020-01-06 04:00:00,"365,27"
125,2020-01-06 05:00:00,"365,27"
126,2020-01-06 06:00:00,"365,27"
127,2020-01-06 07:00:00,"365,27"
128,2020-01-06 08:00:00,"370,48"
129,2020-01-06 09:00:00,"370,48"
130,2020-01-06 10:00:00,"372,89"
131,2020-01-06 11:00:00,"372,89"
132,2020-01-06 12:00:00,"372,89"
133,2020-01-06 13:00:00,"372,89"
134,2020-01-06 14:00:00,"372,89"
135,2020-01-06 15:00:00,"372,89"
136,2020-01-06 16:00:00,"372,89"
137,2020-01-06 17:00:00,"372,89"
138,2020-01-06 18:00:00,"370,48"
139,2020-01-06 19:00:00,"370,48"
140,2020-01-06 20:00:00,"370,48"
141,2020-01-06 21:00:00,"370,48"
142,2020-01-06 22:00:00,"370,48"
143,2020-01-06 23:00:00,"370,48"
144,2020-01-07 00:00:00,"365,27"
145,2020-01-07 01:00:00,"365,27"
146,2020-01-07 02:00:00,"365,27"
147,2020-01-07 03:00:00,"365,27"
148,2020-01-07 04:00:00,"365,27"
149,2020-01-07 05:00:00,"365,27"
150,2020-01-07 06:00:00,"365,27"
151,2020-01-07 07:00:00,"365,27"
152,2020-01-07 08:00:00,"370,48"
153,2020-01-07 09:00:00,"370,48"
154,2020-01-07 10:00:00,"372,89"
155,2020-01-07 11:00:00,"372,89"
156,2020-01-07 12:00:00,"372,89"
157,2020-01-07 13:00:00,"372,89"
158,2020-01-07 14:00:00,"372,89"
159,2020-01-07 15:00:00,"372,89"
160,2020-01-07 16:00:00,"372,89"
161,2020-01-07 17:00:00,"372,89"
162,2020-01-07 18:00:00,"370,48"
163,2020-01-07 19:00:00,"370,48"
164,2020-01-07 20:00:00,"370,48"
165,2020-01-07 21:00:00,"370,48"
166,2020-01-07 22:00:00,"370,48"
167,2020-01-07 23:00:00,"370,48"
168,2020-01-08 00:00:00,"365,27"
169,2020-01-08 01:00:00,"365,27"
170,2020-01-08 02:00:00,"365,27"
171,2020-01-08 03:00:00,"365,27"
172,2020-01-08 04:00:00,"365,27"
173,2020-01-08 05:00:00,"365,27"
174,2020-01-08 06:00:00,"365,27"
175,2020-01-08 07:00:00,"365,27"
176,2020-01-08 08:00:00,"370,48"
177,2020-01-08 09:00:00,"370,48"
178,2020-01-08 10:00:00,"372,89"
179,2020-01-08 11:00:00,"372,89"
180,2020-01-08 12:00:00,"372,89"
181,2020-01-08 13:00:00,"372,89"
182,2020-01-08 14:00:00,"372,89"
183,2020-01-08 15:00:00,"372,89"
184,2020-01-08 16:00:00,"372,89"
185,2020-01-08 17:00:00,"372,89"
186,2020-01-08 18:00:00,"370,48"
187,2020-01-08 19:00:00,"370,48"
188,2020-01-08 20:00:00,"370,48"
189,2020-01-08 21:00:00,"370,48"
190,2020-01-08 22:00:00,"370,48"
191,2020-01-08 23:00:00,"370,48"
192,2020-01-09 00:00:00,"365,27"
193,2020-01-09 01:00:00,"365,27"
194,2020-01-09 02:00:00,"365,27"
195,2020-01-09 03:00:00,"365,27"
196,2020-01-09 04:00:00,"365,27"
197,2020-01-09 05:00:00,"365,27"
198,2020-01-09 06:00:00,"365,27"
199,2020-01-09 07:00:00,"365,27"
200,2020-01-09 08:00:00,"370,48"
201,2020-01-09 09:00:00,"370,48"
202,2020-01-09 10:00:00,"372,89"
203,2020-01-09 11:00:00,"372,89"
204,2020-01-09 12:00:00,"372,89"
205,2020-01-09 13:00:00,"372,89"
206,2020-01-09 14:00:00,"372,89"
207,2020-01-09 15:00:00,"372,89"
208,2020-01-09 16:00:00,"372,89"
209,2020-01-09 17:00:00,"372,89"
210,2020-01-09 18:00:00,"370,48"
211,2020-01-09 19:00:00,"370,48"
212,2020-01-09 20:00:00,"370,48"
213,2020-01-09 21:00:00,"370,48"
214,2020-01-09 22:00:00,"370,48"
215,2020-01-09 23:00:00,"370,48"
216,2020-01-10 00:00:00,"365,27"
217,2020-01-10 01:00:00,"365,27"
218,2020-01-10 02:00:00,"365,27"
219,2020-01-10 03:00:00,"365,27"
220,2020-01-10 04:00:00,"365,27"
221,2020-01-10 05:00:00,"365,27"
222,2020-01-10 06:00:00,"365,27"
223,2020-01-10 07:00:00,"365,27"
224,2020-01-10 08:00:00,"370,48"
225,2020-01-10 09:00:00,"370,48"
226,2020-01-10 10:00:00,"372,89"
227,2020-01-10 11:00:00,"372,89"
228,2020-01-10 12:00:00,"372,89"
229,2020-01-10 13:00:00,"372,89"
230,2020-01-10 14:00:00,"372,89"
231,2020-01-10 15:00:00,"372,89"
232,2020-01-10 16:00:00,"372,89"
233,2020-01-10 17:00:00,"372,89"
234,2020-01-10 18:00:00,"370,48"
235,2020-01-10 19:00:00,"370,48"
236,2020-01-10 20:00:00,"370,48"
237,2020-01-10 21:00:00,"370,48"
238,2020-01-10 22:00:00,"370,48"
239,2020-01-10 23:00:00,"370,48"
240,2020-01-11 00:00:00,"263,77"
241,2020-01-11 01:00:00,"263,77"
242,2020-01-11 02:00:00,"263,77"
243,2020-01-11 03:00:00,"263,77"
244,2020-01-11 04:00:00,"263,77"
245,2020-01-11 05:00:00,"263,77"
246,2020-01-11 06:00:00,"263,77"
247,2020-01-11 07:00:00,"263,77"
248,2020-01-11 08:00:00,"263,77"
249,2020-01-11 09:00:00,"263,77"
250,2020-01-11 10:00:00,"263,77"
251,2020-01-11 11:00:00,"263,77"
252,2020-01-11 12:00:00,"263,77"
253,2020-01-11 13:00:00,"263,77"
254,2020-01-11 14:00:00,"263,77"
255,2020-01-11 15:00:00,"263,77"
256,2020-01-11 16:00:00,"263,77"
257,2020-01-11 17:00:00,"263,77"
258,2020-01-11 18:00:00,"263,77"
259,2020-01-11 19:00:00,"263,77"
260,2020-01-11 20:00:00,"270,96"
261,2020-01-11 21:00:00,"270,96"
262,2020-01-11 22:00:00,"270,96"
263,2020-01-11 23:00:00,"263,77"
264,2020-01-12 00:00:00,"263,77"
265,2020-01-12 01:00:00,"263,77"
266,2020-01-12 02:00:00,"263,77"
267,2020-01-12 03:00:00,"263,77"
268,2020-01-12 04:00:00,"263,77"
269,2020-01-12 05:00:00,"263,77"
270,2020-01-12 06:00:00,"263,77"
271,2020-01-12 07:00:00,"263,77"
272,2020-01-12 08:00:00,"263,77"
273,2020-01-12 09:00:00,"263,77"
274,2020-01-12 10:00:00,"263,77"
275,2020-01-12 11:00:00,"263,77"
276,2020-01-12 12:00:00,"263,77"
277,2020-01-12 13:00:00,"263,77"
278,2020-01-12 14:00:00,"263,77"
279,2020-01-12 15:00:00,"263,77"
280,2020-01-12 16:00:00,"263,77"
281,2020-01-12 17:00:00,"263,77"
282,2020-01-12 18:00:00,"263,77"
283,2020-01-12 19:00:00,"263,77"
284,2020-01-12 20:00:00,"270,96"
285,2020-01-12 21:00:00,"270,96"
286,2020-01-12 22:00:00,"270,96"
287,2020-01-12 23:00:00,"263,77"
288,2020-01-13 00:00:00,"263,77"
289,2020-01-13 01:00:00,"263,77"
290,2020-01-13 02:00:00,"263,77"
291,2020-01-13 03:00:00,"263,77"
292,2020-01-13 04:00:00,"263,77"
293,2020-01-13 05:00:00,"263,77"
294,2020-01-13 06:00:00,"263,77"
295,2020-01-13 07:00:00,"263,77"
296,2020-01-13 08:00:00,"270,96"
297,2020-01-13 09:00:00,"270,96"
298,2020-01-13 10:00:00,"274,63"
299,2020-01-13 11:00:00,"274,63"
300,2020-01-13 12:00:00,"274,63"
301,2020-01-13 13:00:00,"274,63"
302,2020-01-13 14:00:00,"274,63"
303,2020-01-13 15:00:00,"274,63"
304,2020-01-13 16:00:00,"274,63"
305,2020-01-13 17:00:00,"274,63"
306,2020-01-13 18:00:00,"270,96"
307,2020-01-13 19:00:00,"270,96"
308,2020-01-13 20:00:00,"270,96"
309,2020-01-13 21:00:00,"270,96"
310,2020-01-13 22:00:00,"270,96"
311,2020-01-13 23:00:00,"270,96"
312,2020-01-14 00:00:00,"263,77"
313,2020-01-14 01:00:00,"263,77"
314,2020-01-14 02:00:00,"263,77"
315,2020-01-14 03:00:00,"263,77"
316,2020-01-14 04:00:00,"263,77"
317,2020-01-14 05:00:00,"263,77"
318,2020-01-14 06:00:00,"263,77"
319,2020-01-14 07:00:00,"263,77"
320,2020-01-14 08:00:00,"270,96"
321,2020-01-14 09:00:00,"270,96"
322,2020-01-14 10:00:00,"274,63"
323,2020-01-14 11:00:00,"274,63"
324,2020-01-14 12:00:00,"274,63"
325,2020-01-14 13:00:00,"274,63"
326,2020-01-14 14:00:00,"274,63"
327,2020-01-14 15:00:00,"274,63"
328,2020-01-14 16:00:00,"274,63"
329,2020-01-14 17:00:00,"274,63"
330,2020-01-14 18:00:00,"270,96"
331,2020-01-14 19:00:00,"270,96"
332,2020-01-14 20:00:00,"270,96"
333,2020-01-14 21:00:00,"270,96"
334,2020-01-14 22:00:00,"270,96"
